序号,股票代码,股票名称,回购数量,最高价,最低价,回购平均价,回购总额,日期,季度
2,00314,思派健康,1656000.0,2.76,2.63,2.735,4529500.0,2026-02-03,2026Q1
3,00336,华宝国际,210000.0,4.7,4.64,4.685,983800.0,2026-02-03,2026Q1
4,00345,VITASOY INT'L,94000.0,7.0,6.98,6.985,656600.0,2026-02-03,2026Q1
5,00697,首程控股,1094000.0,2.01,1.99,2.008,2196500.0,2026-02-03,2026Q1
6,00732,信利国际,1000000.0,1.04,1.04,1.04,1040000.0,2026-02-03,2026Q1
7,01066,威高股份,140000.0,5.07,5.0,5.047,706600.0,2026-02-03,2026Q1
8,01317,枫叶教育,176000.0,0.34,0.34,0.34,59800.00000000001,2026-02-03,2026Q1
9,01358,普华和顺,412000.0,1.28,1.28,1.28,527400.0,2026-02-03,2026Q1
11,01600,天伦燃气,30000.0,2.89,2.88,2.9,87000.0,2026-02-03,2026Q1
12,01618,中国中冶,1710600.0,3.06,3.01,3.034,5190500.0,2026-02-03,2026Q1
13,01618,中国中冶,1366000.0,1.83,1.81,1.822,2488300.0,2026-02-03,2026Q1
14,01773,天立国际控股,200000.0,2.49,2.49,2.49,498000.0,2026-02-03,2026Q1
15,01800,中国交通建设,1260300.0,8.09,8.01,8.053,10148700.0,2026-02-03,2026Q1
16,01810,小米集团-W,3000000.0,34.92,34.62,34.778,104334000.0,2026-02-03,2026Q1
17,02158,医渡科技,1462800.0,5.68,5.49,5.618,8217900.0,2026-02-03,2026Q1
20,02400,心动公司,23000.0,88.2,79.5,84.598,1945800.0000000002,2026-02-03,2026Q1
22,02419,德康农牧,6700.0,69.5,68.85,69.234,463900.0,2026-02-03,2026Q1
25,02586,多点数智,200900.0,8.62,8.31,8.462,1700100.0,2026-02-03,2026Q1
30,03888,金山软件,344400.0,29.34,28.58,29.03,9997800.0,2026-02-03,2026Q1
31,06098,碧桂园服务,800000.0,6.33,6.28,6.315,5052000.0,2026-02-03,2026Q1
32,06608,百融云-W,430000.0,11.7,11.51,11.621,4996900.0,2026-02-03,2026Q1
35,06998,嘉和生物,1000000.0,2.59,2.52,2.556,2556400.0,2026-02-03,2026Q1
36,09666,金科服务,33500.0,8.69,8.69,8.69,291100.0,2026-02-03,2026Q1
37,09676,十月稻田,455400.0,9.05,8.76,8.955,4078200.0,2026-02-03,2026Q1
38,09890,贪玩,51600.0,17.35,17.14,17.285,891900.0,2026-02-03,2026Q1
39,09896,名创优品,51200.0,4.668,4.61,4.638,237600.00000000003,2026-02-03,2026Q1
40,09896,名创优品,52600.0,36.56,35.34,36.039,1895600.0,2026-02-03,2026Q1
41,09922,九毛九,963000.0,2.12,2.05,2.078,2000600.0,2026-02-03,2026Q1
44,00345,VITASOY INT'L,1682000.0,7.0,6.89,6.978,11736300.000000002,2026-02-02,2026Q1
45,00697,首程控股,4550000.0,2.04,1.98,1.997,9086100.0,2026-02-02,2026Q1
46,00732,信利国际,1000000.0,1.03,1.03,1.03,1030000.0,2026-02-02,2026Q1
47,01066,威高股份,220000.0,5.0,4.98,4.986,1097000.0,2026-02-02,2026Q1
48,01276,恒瑞医药,465000.0,57.46,56.37,57.061,26533500.0,2026-02-02,2026Q1
49,01358,普华和顺,410000.0,1.28,1.28,1.28,524800.0,2026-02-02,2026Q1
51,01458,周黑鸭,308500.0,1.61,1.6,1.605,495100.0,2026-02-02,2026Q1
52,01600,天伦燃气,230000.0,2.92,2.89,2.924,672600.0,2026-02-02,2026Q1
53,01618,中国中冶,474000.0,1.81,1.8,1.807,856500.0,2026-02-02,2026Q1
54,01773,天立国际控股,300000.0,2.57,2.57,2.57,771000.0,2026-02-02,2026Q1
55,01800,中国交通建设,1207900.0,8.18,8.0,8.111,9796900.0,2026-02-02,2026Q1
56,01810,小米集团-W,6000000.0,35.0,34.54,34.874,209243900.0,2026-02-02,2026Q1
57,02039,中集集团,415500.0,8.7,8.51,8.66,3598000.0,2026-02-02,2026Q1
58,02158,医渡科技,885400.0000000001,5.71,5.58,5.645,4998400.0,2026-02-02,2026Q1
61,02378,保诚,317100.0,12.105,11.875,12.021,3812400.0,2026-02-02,2026Q1
62,02390,知乎-W,94100.0,1.263,1.197,1.233,116100.0,2026-02-02,2026Q1
64,02400,心动公司,22000.0,90.65,85.1,87.394,1922700.0,2026-02-02,2026Q1
65,02419,德康农牧,17300.0,70.1,68.2,69.17,1196600.0,2026-02-02,2026Q1
68,02586,多点数智,326599.99999999994,8.56,8.26,8.406,2745500.0,2026-02-02,2026Q1
73,06098,碧桂园服务,1800000.0,6.35,6.26,6.303,11346000.0,2026-02-02,2026Q1
74,06608,百融云-W,285000.0,11.27,11.09,11.201,3192400.0,2026-02-02,2026Q1
76,06690,海尔智家,43600.0,2.04,2.025,2.034,88699.99999999999,2026-02-02,2026Q1
79,06998,嘉和生物,1500000.0,2.55,2.52,2.545,3818000.0,2026-02-02,2026Q1
81,09666,金科服务,248700.0,8.69,8.68,8.687,2160500.0,2026-02-02,2026Q1
82,09676,十月稻田,519000.0,8.98,8.5,8.8,4567100.0,2026-02-02,2026Q1
83,09896,名创优品,52600.0,36.8,35.12,35.59,1872100.0,2026-02-02,2026Q1
84,09896,名创优品,50800.0,4.625,4.558,4.604,233800.0,2026-02-02,2026Q1
85,09922,九毛九,961000.0,2.12,2.06,2.084,2002900.0,2026-02-02,2026Q1
86,09987,百胜中国,59900.0,50.36,49.51,50.061,3000000.0,2026-02-02,2026Q1
87,09987,百胜中国,20099.999999999996,388.0,382.8,385.062,7739800.0,2026-02-02,2026Q1
91,00345,VITASOY INT'L,3492000.0,7.0,6.9,6.979,24371700.0,2026-01-30,2026Q1
92,00697,首程控股,400000.0,2.07,2.04,2.066,826500.0,2026-01-30,2026Q1
93,01066,威高股份,1112000.0,5.24,4.97,5.051,5616600.0,2026-01-30,2026Q1
94,01276,恒瑞医药,343100.0,58.21,58.12,58.175,19959900.0,2026-01-30,2026Q1
95,01358,普华和顺,295000.0,1.28,1.28,1.28,377600.0,2026-01-30,2026Q1
97,01600,天伦燃气,110000.0,2.94,2.92,2.941,323600.0,2026-01-30,2026Q1
98,01618,中国中冶,8446700.0,3.2,3.12,3.164,26728500.0,2026-01-30,2026Q1
99,01618,中国中冶,1652000.0,1.94,1.87,1.893,3126900.0,2026-01-30,2026Q1
100,01773,天立国际控股,200000.0,2.81,2.81,2.81,562000.0,2026-01-30,2026Q1
101,01800,中国交通建设,1249900.0,8.27,8.13,8.19,10236500.0,2026-01-30,2026Q1
102,01810,小米集团-W,4200000.0,35.76,35.6,35.675,149834800.0,2026-01-30,2026Q1
104,02158,医渡科技,786300.0,6.0,5.72,5.797,4557900.0,2026-01-30,2026Q1
108,02378,保诚,299200.0,12.085,11.94,12.02,3596800.0,2026-01-30,2026Q1
109,02390,知乎-W,97300.0,1.257,1.253,1.256,122200.0,2026-01-30,2026Q1
111,02400,心动公司,23000.0,89.35,84.9,85.996,1977900.0,2026-01-30,2026Q1
112,02419,德康农牧,18300.0,70.1,69.7,69.883,1278900.0,2026-01-30,2026Q1
115,02586,多点数智,374500.0,8.6,8.28,8.379,3138000.0,2026-01-30,2026Q1
121,06098,碧桂园服务,600000.0,6.4,6.38,6.39,3834000.0,2026-01-30,2026Q1
122,06608,百融云-W,440000.0,11.41,11.09,11.246,4948500.0,2026-01-30,2026Q1
124,06690,海尔智家,1790000.0,25.54,25.1,25.265,45223600.0,2026-01-30,2026Q1
125,06690,海尔智家,59000.0,2.084,2.07,2.077,122500.0,2026-01-30,2026Q1
127,06998,嘉和生物,1000000.0,2.56,2.47,2.536,2535700.0,2026-01-30,2026Q1
129,09666,金科服务,172500.0,8.69,8.68,8.688,1498700.0,2026-01-30,2026Q1
130,09896,名创优品,52600.0,37.94,36.4,36.772,1934199.9999999998,2026-01-30,2026Q1
