date_m,Rf
1990-12,
1991-01,
1991-02,
1991-03,
1991-04,
1991-05,
1991-06,
1991-07,
1991-08,
1991-09,
1991-10,
1991-11,
1991-12,
1992-01,
1992-02,
1992-03,
1992-04,
1992-05,
1992-06,
1992-07,
1992-08,
1992-09,
1992-10,
1992-11,
1992-12,
1993-01,
1993-02,
1993-03,
1993-04,
1993-05,
1993-06,
1993-07,
1993-08,
1993-09,
1993-10,
1993-11,
1993-12,
1994-01,
1994-02,
1994-03,
1994-04,
1994-05,
1994-06,
1994-07,
1994-08,
1994-09,
1994-10,
1994-11,
1994-12,
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,
1995-09,
1995-10,
1995-11,
1995-12,
1996-01,
1996-02,
1996-03,
1996-04,
1996-05,
1996-06,
1996-07,
1996-08,
1996-09,
1996-10,
1996-11,
1996-12,
1997-01,
1997-02,
1997-03,
1997-04,
1997-05,
1997-06,
1997-07,
1997-08,
1997-09,
1997-10,
1997-11,
1997-12,
1998-01,
1998-02,
1998-03,
1998-04,
1998-05,
1998-06,
1998-07,
1998-08,
1998-09,
1998-10,
1998-11,
1998-12,
1999-01,
1999-02,
1999-03,
1999-04,
1999-05,
1999-06,
1999-07,
1999-08,
1999-09,
1999-10,
1999-11,
1999-12,
2000-01,
2000-02,
2000-03,
2000-04,
2000-05,
2000-06,
2000-07,
2000-08,
2000-09,
2000-10,
2000-11,
2000-12,
2001-01,
2001-02,
2001-03,
2001-04,
2001-05,
2001-06,
2001-07,
2001-08,
2001-09,
2001-10,
2001-11,
2001-12,
2002-01,0.0026821666666666665
2002-02,0.0026095833333333335
2002-03,0.0023792500000000003
2002-04,0.002085166666666667
2002-05,0.0019841666666666666
2002-06,0.0021498333333333335
2002-07,0.002390833333333334
2002-08,0.002549583333333333
2002-09,0.0026164166666666666
2002-10,0.0024981666666666663
2002-11,0.0029373333333333335
2002-12,0.0026479999999999997
2003-01,0.0025819999999999997
2003-02,0.0026020833333333334
2003-03,0.0024356666666666667
2003-04,0.002361666666666667
2003-05,0.0023930833333333334
2003-06,0.0025684166666666668
2003-07,0.0024411666666666666
2003-08,0.0023591666666666665
2003-09,0.002697416666666667
2003-10,0.0027695833333333335
2003-11,0.0032774999999999996
2003-12,0.0028001666666666665
2004-01,0.0032254999999999996
2004-02,0.0031754166666666667
2004-03,0.0032640833333333337
2004-04,0.003570083333333333
2004-05,0.003843583333333334
2004-06,0.003623333333333333
2004-07,0.003834833333333333
2004-08,0.004306333333333333
2004-09,0.004272166666666666
2004-10,0.004020500000000001
2004-11,0.0044515833333333334
2004-12,0.0039443333333333335
2005-01,0.004081833333333333
2005-02,0.004027833333333334
2005-03,0.0034335833333333336
2005-04,0.003370083333333334
2005-05,0.0032057500000000003
2005-06,0.003044166666666667
2005-07,0.0028228333333333334
2005-08,0.0029673333333333335
2005-09,0.0027003333333333337
2005-10,0.0025510833333333336
2005-11,0.00277125
2005-12,0.0026013333333333335
2006-01,0.0024829166666666667
2006-02,0.0024388333333333332
2006-03,0.00245
2006-04,0.0025
2006-05,0.0025166666666666666
2006-06,0.0026374999999999997
2006-07,0.0027166666666666663
2006-08,0.0026983333333333334
2006-09,0.002499166666666667
2006-10,0.0024593333333333333
2006-11,0.00248175
2006-12,0.0025224166666666667
2007-01,0.002555916666666667
2007-02,0.0026221666666666667
2007-03,0.0028615
2007-04,0.0029930000000000004
2007-05,0.0033833333333333332
2007-06,0.003708333333333334
2007-07,0.0036167499999999997
2007-08,0.003561916666666667
2007-09,0.0036564166666666668
2007-10,0.00374475
2007-11,0.003757166666666667
2007-12,0.00368775
2008-01,0.0034947499999999996
2008-02,0.00344025
2008-03,0.003371666666666667
2008-04,0.0033937499999999996
2008-05,0.00346575
2008-06,0.0037737499999999998
2008-07,0.0037000833333333334
2008-08,0.0035195
2008-09,0.00309625
2008-10,0.0025625833333333334
2008-11,0.0024920833333333336
2008-12,0.0022934166666666667
2009-01,0.0025306666666666667
2009-02,0.0026256666666666668
2009-03,0.0026343333333333336
2009-04,0.0025893333333333337
2009-05,0.0025340833333333335
2009-06,0.00270025
2009-07,0.0029191666666666667
2009-08,0.002900416666666667
2009-09,0.0029276666666666665
2009-10,0.0030738333333333334
2009-11,0.0029640833333333338
2009-12,0.0030351666666666665
2010-01,0.002983333333333333
2010-02,0.0028127500000000006
2010-03,0.0029014999999999996
2010-04,0.0027970833333333333
2010-05,0.0027025
2010-06,0.0027325
2010-07,0.0027496666666666663
