date,index_code,name_cn_full,name_cn_short,name_en_full,name_en_short,open,high,low,close,change,pct_change,volume,amount,n_constituents,pe_ttm
2013-01-01,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3000.0,,0.0,0.0,0.0,,
2014-11-14,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3000.0,,0.0,0.0,0.0,,
2014-11-17,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,2957.78,,-1.41,1677.2,129.04,,
2014-11-18,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,2929.12,,-0.97,1557.84,118.86,,
2014-11-19,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,2909.69,,-0.66,1267.84,100.51,,
2014-11-20,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,2892.99,,-0.57,1171.17,96.61,,
2014-11-21,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,2904.56,,0.4,1223.0,106.39,,
2014-11-24,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,2976.14,,2.46,2589.38,187.08,,
2014-11-25,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,2970.07,,-0.2,1761.22,135.52,,
2014-11-26,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3017.36,,1.59,2080.31,157.24,,
2014-11-27,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3005.2,,-0.4,1599.54,120.38,,
2014-11-28,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3029.48,,0.81,3085.73,202.36,,
2014-12-01,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,2959.28,,-2.32,2648.68,199.03,,
2014-12-02,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3017.6,,1.97,2621.15,180.5,,
2014-12-03,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3011.63,,-0.2,3085.2,213.29,,
2014-12-04,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3067.28,,1.85,3421.9,247.64,,
2014-12-05,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3081.98,,0.48,5084.19,344.72,,
2014-12-08,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3098.3,,0.53,3900.26,258.85,,
2014-12-09,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3022.98,,-2.43,3931.19,258.13,,
2014-12-10,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3028.74,,0.19,2116.38,158.09,,
2014-12-11,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3002.73,,-0.86,2134.91,158.17,,
2014-12-12,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3006.04,,0.11,1502.38,121.54,,
2014-12-15,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,3002.57,,-0.11,1719.95,144.85,,
2014-12-16,930914,中证港股通高股息投资指数,港股通高股息,CSI Hong Kong Connect High Dividend Yield Investment Index,HK Connect HDY,,,,2967.47,,-1.17,2118.69,187.86,,
